,spectral,frequency,amplitude,temporal
0,spectralFlux_sma3_amean,F0semitoneFrom27.5Hz_sma3nz_amean,loudness_sma3_amean,loudnessPeaksPerSec
1,spectralFlux_sma3_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,loudness_sma3_stddevNorm,VoicedSegmentsPerSec
2,spectralFluxV_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,loudness_sma3_percentile20.0,MeanVoicedSegmentLengthSec
3,spectralFluxV_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,loudness_sma3_percentile50.0,StddevVoicedSegmentLengthSec
4,spectralFluxUV_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,loudness_sma3_percentile80.0,MeanUnvoicedSegmentLength
5,mfcc1_sma3_amean,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,loudness_sma3_pctlrange0-2,StddevUnvoicedSegmentLength
6,mfcc1_sma3_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,loudness_sma3_meanRisingSlope,equivalentSoundLevel_dBp
7,mfcc2_sma3_amean,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,loudness_sma3_stddevRisingSlope,
8,mfcc2_sma3_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,loudness_sma3_meanFallingSlope,
9,mfcc3_sma3_amean,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_stddevFallingSlope,
10,mfcc3_sma3_stddevNorm,jitterLocal_sma3nz_amean,shimmerLocaldB_sma3nz_amean,
11,mfcc4_sma3_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_stddevNorm,
12,mfcc4_sma3_stddevNorm,F1frequency_sma3nz_amean,HNRdBACF_sma3nz_amean,
13,mfcc1V_sma3nz_amean,F1frequency_sma3nz_stddevNorm,HNRdBACF_sma3nz_stddevNorm,
14,mfcc1V_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,,
15,mfcc2V_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,,
16,mfcc2V_sma3nz_stddevNorm,F2frequency_sma3nz_amean,,
17,mfcc3V_sma3nz_amean,F2frequency_sma3nz_stddevNorm,,
18,mfcc3V_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,,
19,mfcc4V_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,,
20,mfcc4V_sma3nz_stddevNorm,F3frequency_sma3nz_amean,,
21,logRelF0-H1-H2_sma3nz_amean,F3frequency_sma3nz_stddevNorm,,
22,logRelF0-H1-H2_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,,
23,logRelF0-H1-A3_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,,
24,logRelF0-H1-A3_sma3nz_stddevNorm,,,
25,alphaRatioV_sma3nz_amean,,,
26,alphaRatioV_sma3nz_stddevNorm,,,
27,alphaRatioUV_sma3nz_amean,,,
28,hammarbergIndexV_sma3nz_amean,,,
29,hammarbergIndexV_sma3nz_stddevNorm,,,
30,hammarbergIndexUV_sma3nz_amean,,,
31,slopeV0-500_sma3nz_amean,,,
32,slopeV0-500_sma3nz_stddevNorm,,,
33,slopeV500-1500_sma3nz_amean,,,
34,slopeV500-1500_sma3nz_stddevNorm,,,
35,slopeUV0-500_sma3nz_amean,,,
36,slopeUV500-1500_sma3nz_amean,,,
37,F1amplitudeLogRelF0_sma3nz_amean,,,
38,F1amplitudeLogRelF0_sma3nz_stddevNorm,,,
39,F2amplitudeLogRelF0_sma3nz_amean,,,
40,F2amplitudeLogRelF0_sma3nz_stddevNorm,,,
41,F3amplitudeLogRelF0_sma3nz_amean,,,
42,F3amplitudeLogRelF0_sma3nz_stddevNorm,,,
