,values,task,feature,category
0,32.586926,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
1,30.174871,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
2,21.711077,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
3,31.954258,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
4,25.511583,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
5,31.081968,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
6,21.008923,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
7,31.820124,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
8,22.398228,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
9,22.802486,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
10,29.22457,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
11,25.89505,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
12,20.73339,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
13,24.60469,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
14,25.462273,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
15,31.740715,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
16,31.842249,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
17,19.245352,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
18,20.37578,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
19,31.614271,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
20,28.28568,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
21,30.850124,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
22,20.331757,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
23,32.698334,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
24,20.082062,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
25,28.219467,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
26,26.613869,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
27,29.685799,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
28,21.340086,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
29,31.855333,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
30,29.231073,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
31,28.421364,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
32,29.542566,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
33,31.175814,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
34,26.854559,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
35,28.560694,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
36,20.577389,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
37,22.981497,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
38,20.776052,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
39,23.01481,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
40,21.405737,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
41,28.59126,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
42,26.540176,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
43,29.581406,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
44,31.310246,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
45,18.192009,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
46,21.583534,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
47,21.189335,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
48,23.888206,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
49,29.30912,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
50,33.784462,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
51,17.381773,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
52,32.02008,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
53,30.451761,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
54,20.62562,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
55,28.135899,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
56,21.932034,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
57,27.705242,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
58,28.653326,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
59,26.000532,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
60,30.105663,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
61,25.40036,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
62,26.143751,book,F0semitoneFrom27.5Hz_sma3nz_amean,frequency
