,var_name,Contrast,A,B,Paired,Parametric,T,dof,Tail,p-unc,p-corr,p-adjust,BF10,cohen
1,F0semitoneFrom27.5Hz_sma3nz_amean,task,book,vac,True,True,-5.118191458527975,230.0,two-sided,6.509615239557696e-07,1.952884571867309e-06,fdr_bh,1.554e+04,-0.16139725461183801
2,F0semitoneFrom27.5Hz_sma3nz_amean,task,pic,vac,True,True,-3.2561334588172204,230.0,two-sided,0.0012997584602826755,0.0019496376904240133,fdr_bh,12.323,-0.10620596844341712
0,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,task,book,pic,True,True,-5.502873706449577,230.0,two-sided,9.936159175888712e-08,2.980847752766614e-07,fdr_bh,9.396e+04,-0.2406195551511542
1,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,task,book,vac,True,True,-2.7950640908604942,230.0,two-sided,0.00562712075545024,0.00844068113317536,fdr_bh,3.274,-0.18170186085251996
1,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,task,book,vac,True,True,-6.682807022074971,230.0,two-sided,1.7503581241267778e-10,2.625537186190167e-10,fdr_bh,4.266e+07,-0.39508334848772175
2,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,task,pic,vac,True,True,-7.114283931577712,230.0,two-sided,1.4148067838328826e-11,4.244420351498648e-11,fdr_bh,4.898e+08,-0.41725740750127926
1,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,task,book,vac,True,True,-6.682807022074971,230.0,two-sided,1.7503581241267778e-10,2.625537186190167e-10,fdr_bh,4.266e+07,-0.39508334848772175
2,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,task,pic,vac,True,True,-7.114283931577712,230.0,two-sided,1.4148067838328826e-11,4.244420351498648e-11,fdr_bh,4.898e+08,-0.41725740750127926
0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,task,book,pic,True,True,-4.8361429127222255,230.0,two-sided,2.4236023413801415e-06,7.2708070241404245e-06,fdr_bh,4437.304,-0.17205468658425102
1,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,task,book,vac,True,True,-2.3474381458650537,230.0,two-sided,0.01975191799978334,0.01975191799978334,fdr_bh,1.084,-0.059899756909195676
2,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,task,pic,vac,True,True,3.7206910018813124,230.0,two-sided,0.00024977024150592384,0.00037465536225888575,fdr_bh,56.394,0.11609947859180617
0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,task,book,pic,True,True,-4.133137932336317,230.0,two-sided,5.0144947438620925e-05,5.0144947438620925e-05,fdr_bh,252.788,-0.2066332867573354
1,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,task,book,vac,True,True,5.9827029835414445,230.0,two-sided,8.335357621771428e-09,1.2503036432657143e-08,fdr_bh,1.019e+06,0.42160496495012345
2,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,task,pic,vac,True,True,9.031080756096959,230.0,two-sided,7.044426750835096e-17,2.1133280252505288e-16,fdr_bh,7.319e+13,0.6473168233942663
1,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,task,book,vac,True,True,-15.999657259849748,230.0,two-sided,3.12462444717766e-39,9.37387334153298e-39,fdr_bh,7.791e+35,-0.8275094334137039
2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,task,pic,vac,True,True,-13.111882985773352,230.0,two-sided,1.059258160445042e-29,1.588887240667563e-29,fdr_bh,2.991e+26,-0.7500260432459209
1,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,task,book,vac,True,True,-15.009306695463142,230.0,two-sided,5.864554828913449e-36,1.7593664486740348e-35,fdr_bh,4.516e+32,-0.7914301334309747
2,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,task,pic,vac,True,True,-12.677949244104571,230.0,two-sided,2.777652872762722e-28,4.166479309144083e-28,fdr_bh,1.192e+25,-0.7095050875519832
0,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,task,book,pic,True,True,-4.946442139761825,230.0,two-sided,1.458969665205426e-06,1.458969665205426e-06,fdr_bh,7194.284,-0.2613747654652063
1,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,task,book,vac,True,True,-13.662585701189414,230.0,two-sided,1.643359189821506e-31,4.930077569464518e-31,fdr_bh,1.825e+28,-0.6925388863036133
